"codigo","nombre","energia_kcal","agua_pct","fraccion_comestible_pct","proteina_g","grasa_total_g","ag_sat_g","ag_mono_g","ag_poli_g","colesterol_mg","carbohidratos_g","azucares_g","ceniza_g","fibra_dietetica_g","calcio_mg","hierro_mg","magnesio_mg","fosforo_mg","potasio_mg","sodio_mg","zinc_mg","cobre_mg","selenio_mcg","vitamina_c_mg","tiamina_mg","riboflavina_mg","niacina_mg","ac_pantotenico_mg","vitamina_b6_mg","ac_folico_mcg","folato_alimentos_mcg","folato_fde_mcg","vitamina_b12_mcg","vitamina_a_rae_mcg","retinol_mcg","b_carotenos_mcg","vitamina_e_mg","vitamina_d_mcg","vitamina_k_mcg"
"11097","HONGOS ENLATADOS, SOLIDOS","25","91","1","1.87","0.29","0.04","0.01","0.11","0","5.09","2.34","2.4","1.67","11","0.79","15","66","129","425","0.72","0.24","4.1","0","0.09","0.02","1.59","0.81","0.06","0","12","12","0","0","0","0","0.01","0.2","0"
"11098","HONGOS COMESTIBLES, DE SAN JUAN, GUATEMALA","12","94","1","2","0.4",,,,,"3.2",,"1","0.8","3","3.2",,"44",,,,,,"1","0.01","0.34","1.05",,,,,,,"0",,,,,
"11099","IZOTE O ITABO, COGOLLOS","30","90","1","1.2","0.3",,,,,"6.4",,"1.1","1.9","342","0.9",,"24",,,,,,"26","0.2","0.04","0.3",,,,,,,,,,,,
"11100","IZOTE O ITABO, FLORES","61","83","0.97","2","0.3",,,,,"13.7",,"0.9","0.8","34","1.4",,"69",,,,,,"393","0.16","0.15","1.5",,,,,,,"3",,,,,
"11101","JICAMA, CRUDA","38","90","0.92","0.72","0.09","0.02","0.01","0.04","0","8.82","1.8","4.9","0.3","12","0.6","12","18","150","4","0.16","0.05","0.7","20","0.02","0.03","0.2","0.14","0.04","0","12","12","0","1","0","13","0.46","0","0.3"
"11102","FRIJOL GRANO VERDE, TREPADOR (LABLAB)","46","88","0.93","2.1","0.2","0.09","0.1","0.01","0","9.19","4.08","3.3","0.64","50","0.74","40","49","252","2","0.37","0.05","1.5","13","0.08","0.09","0.52","0.06","0.02","0","62","62","0","43","0","475","0.51","0","18.1"
"11105","LECHUGA ARREPOLLADA (ICEBERG)","14","96","0.95","0.9","0.14","0.02","0.01","0.07","0","2.97","1.97","1.2","0.36","18","0.41","7","20","141","10","0.15","0.03","0.1","3","0.04","0.03","0.12","0.09","0.04","0","29","29","0","25","0","299","0.18","0","24.1"
"11106","LECHUGA NO ARREPOLLADA (BUTTERHEAD)","13","96","0.74","1.35","0.22","0.03","0.01","0.12","0","2.23","0.94","1.1","0.57","35","1.24","13","33","238","5","0.2","0.02","0.6","4","0.06","0.06","0.36","0.15","0.08","0","73","73","0","166","0","1987","0.18","0","102.3"
"11107","ENDIVIA, HOJAS","17","94","0.86","1.25","0.2","0.05","0","0.09","0","3.35","0.25","3.1","1.41","52","0.83","15","28","314","22","0.79","0.1","0.2","7","0.08","0.08","0.4","0.9","0.02","0","142","142","0","108","0","1300","0.44","0","231"
"11108","LOROCO","32","89","0.92","2.6","0.2",,,,,"6.8",,"1.4","1.2","58","1.1",,"46",,,,,,"12","0.64","0.11","2.3",,,,,,,"17",,,,,
"11109","MADRECACAO, FLORES","46","86","1","2.4","0.2",,,,,"10.8",,"1.6","0.6","22","1.8",,"37",,,,,,"44","0.11","0.08","0.6",,,,,,,"11",,,,,
"11110","ELOTE DULCE, AMARILLO, COCIDO C/SAL, ENLATADO","61","83","1","1.95","0.77","0.08","0.14","0.23","0","13.86","4.15","1.7","0.8","4","0.36","15","46","136","195","0.39","0.03","0.5","3","0.02","0.02","0.88","0.52","0.04","0","38","38","0","2","0","9","0.03","0","0"
"11111","ELOTE DULCE, AMARILLO, ESTILO CREMA, ENLATADO","72","79","1","1.74","0.42","0.07","0.12","0.2","0","18.13","3.23","1.2","0.98","3","0.38","17","51","134","261","0.53","0.05","0.4","5","0.03","0.05","0.96","0.18","0.06","0","45","45","0","4","0","30","0.07","0","0"
"11112","MALANGA/OTOE/YAUTIA, RAIZ, CRUDA","112","71","0.86","1.5","0.2","0.04","0.02","0.08","0","26.46","0.4","4.1","1.2","43","0.55","33","84","591","11","0.23","0.17","0.7","5","0.1","0.03","0.6","0.3","0.28","0","22","22","0","4","0","35","2.38","0","1"
"11113","MILTOMATE","32","92","0.9","0.96","1.02","0.14","0.16","0.42","0","5.84","3.93","1.9","0.55","7","0.62","20","39","268","1","0.22","0.08","0.5","12","0.04","0.04","1.85","0.15","0.06","0","7","7","0","6","0","63","0.38","0","10.1"
